GeneLabel,t-statistic,p-FDR
BRINP2,3.0478101191132767,0.026861507778498144
ENOPH1,3.2940784268971903,0.021907555274245236
SHD,2.601529544362066,0.04649591276767025
PRDM8,2.7430000644897348,0.03910344592199991
PDXP,2.6682370077095943,0.04226277985573411
CACNG7,3.096218352590782,0.0258040835627398
SEMA6A,-3.3441308703773847,0.020468701850868593
UNC79,3.2687029906183778,0.022181298264431222
LRRN1,-3.3022192856419106,0.021698887313625282
ALS2,2.7177247310772343,0.04015221864100703
GDAP1L1,3.5891495599059478,0.016845318148276847
METRN,-3.3774726658592504,0.019737218792591257
DBNDD1,2.9988031566337456,0.028466028121747297
CAMK1G,2.7542839176849,0.03834238213722934
NAPB,3.2464610293793084,0.022372670897014935
LRRC4,2.8873682288545095,0.032212015520143134
MOAP1,3.0621336624421756,0.026392659856880576
NECAB1,4.255268856290364,0.010931522503565525
FSD1,2.6107169461520816,0.04588328719031937
BAALC,-3.0239198162067025,0.02777314425559114
SLC4A10,2.7035214137567065,0.04070073824054219
NDRG3,2.7006747641840128,0.04070073824054219
PLEKHG5,2.709115042230175,0.04033621669645434
RFX7,-3.066121685965184,0.026386418112839177
MARCKSL1,-2.8354869740983757,0.034184834917919425
SYNDIG1,3.623182586716748,0.016647182566304014
ZNF385D,3.200402622763426,0.023658195989526103
C1orf115,3.1078415789270073,0.025275719332793135
SRCIN1,3.0882948980657825,0.025869879707608453
TMEM121,2.5853835877242357,0.04775066457694844
SPX,-3.7777562106829587,0.014966788431870295
PGBD5,2.6739754068059978,0.041998902175817955
OGFRL1,-4.202389787146373,0.010962825085991236
LRRTM4,4.150213941701376,0.010962825085991236
JAM3,-2.8890441305157646,0.032175693531976204
GPR61,2.5893916717088925,0.04763460902163483
B3GNT4,-3.1130779850891783,0.025017039846562394
ABHD8,3.4026962908781995,0.019248052827017106
TSC22D4,-2.929065608680905,0.03110539913146115
PRAM1,-3.9648151267130296,0.013310875547467491
ZIC4,-4.1259197267099,0.010962825085991236
BEX2,3.2705058415114108,0.022181298264431222
BCAN,-2.9575770182817855,0.029851165570515807
LINGO1,2.98677079644465,0.028843467137410234
FAM222A,-2.5647892023339933,0.04932558192741623
CAMKK1,3.5252630700537804,0.0175728016589464
FRMPD3,-2.9618172815191484,0.029851165570515807
BRSK1,2.8676005978068497,0.033076873519865095
MEGF11,-3.2620799802864306,0.022181298264431222
SRRM4,3.0109209406851916,0.028099686920813844
NTNG2,3.5984291358979754,0.016845318148276847
KCNH7,3.415286326715995,0.0189895498336896
EFCAB12,-3.029277457830013,0.027562803343207386
SYT12,3.1286322238031503,0.024734055356678723
ATCAY,3.6321902854904895,0.016647182566304014
ARRDC4,-4.9896191780590415,0.0068532269742144205
PTH2,-3.1813301343824327,0.02369928061165442
LRRC37B,-3.2857892388389502,0.022101816850482365
SLITRK1,3.003012611647472,0.028419001951879286
CCDC151,-3.345678125079041,0.020468701850868593
OLIG1,-2.628692814642229,0.04473804111258027
IGSF8,2.787232971959818,0.036763622453143005
GNG8,-2.9160026910464416,0.03114758533831364
C1orf216,3.7838899638623484,0.014966788431870295
PIFO,-3.251369913677351,0.022181298264431222
HIST3H2A,-3.384112741229413,0.019546817006840328
